# Rime user dictionary
#@/db_name	flypy_flypy
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	16891
#@/user_id	lakuhana
aa[kk 	啊	c=1 d=2.84233e-25 t=16891
aa[kk aa[kk 	啊啊	c=1 d=4.2068e-20 t=16891
aa[kk ma[nm 	啊妈	c=1 d=0.0166557 t=16891
ai[cx te[nc 	艾特	c=1 d=5.99026e-31 t=16891
ai[kx 	哎	c=1 d=8.14067e-22 t=16891
ai[py 	爱	c=1 d=1.40638e-12 t=16891
ai[py mu[cx 	爱慕	c=1 d=4.03909e-12 t=16891
ai[py yu[aa ig[yi 	爱与诚	c=3 d=4.95191e-32 t=16891
an[bn pd[ff 	安排	c=2 d=2.37089e-09 t=16891
an[bn qr[rw 	安全	c=3 d=5.24931e-07 t=16891
an[bn vl[dy 	安装	c=10 d=0.00119258 t=16891
an[bn vl[dy fw[fr 	安装费	c=2 d=0.000814247 t=16891
an[bn vl[dy fw[fr ys[kl 	安装费用	c=1 d=0.000214973 t=16891
an[bn xb[dd 	安心	c=1 d=3.13157e-18 t=16891
an[fn 	按	c=19 d=5.15228e-06 t=16891
an[fn dc[zz li[wl 	按道理	c=1 d=1.71746e-10 t=16891
an[fn de[bU 	按的	c=1 d=0.985112 t=16891
an[fn ge[rl 	按个	c=2 d=2.74318e-19 t=16891
an[fn iu[vk ld[an 	按出来	c=1 d=2.4334e-21 t=16891
an[fn jm[jz 	按键	c=1 d=3.65846e-24 t=16891
an[fn le[VL 	按了	c=2 d=0.000515692 t=16891
an[fn ni[rx 	按你	c=1 d=3.9913e-19 t=16891
an[fn qi[qb 	按其	c=1 d=4.01404e-27 t=16891
an[fn ui[oc 	按时	c=0 d=2.5157e-31 t=16891
an[fn ui[oc gs[bs 	按时公	c=1 d=2.52831e-30 t=16891
an[fn vc[oh 	按照	c=8 d=0.660043 t=16891
an[fn ve[ZW ge[RL 	按这个	c=1 d=1.66671e-10 t=16891
an[fn vg[uv ti[rb 	按整体	c=1 d=2.3107e-30 t=16891
an[fn wo[pd 	按我	c=2 d=2.34871e-15 t=16891
ao[fh ye[wn 	熬夜	c=2 d=3.31058e-32 t=16891
ao[la 	凹	c=2 d=3.03265e-14 t=16891
ao[la xm[ej 	凹陷	c=1 d=2.7243e-26 t=16891
ba[bb 	爸	c=1 d=1.44671e-21 t=16891
ba[bb ba[bb 	爸爸	c=10 d=1.39865e-06 t=16891
ba[fb 	把	c=37 d=3.29794 t=16891
ba[fb ni[RX 	把你	c=1 d=4.89609e-11 t=16891
ba[fb wo[pd 	把我	c=3 d=1.65897e-14 t=16891
ba[fb wo[pd mf[rm 	把我们	c=1 d=4.69995e-30 t=16891
ba[fb yi[aa ge[RL 	把一个	c=0 d=0.000470091 t=16891
ba[fb yi[aa ge[RL wu[nw ti[rb 	把一个物体	c=1 d=0.00472447 t=16891
ba[kb 	吧	c=17 d=9.35151e-05 t=16891
ba[pn 	八	c=3 d=0.0212336 t=16891
ba[pn ge[RL 	八个	c=1 d=0.00755912 t=16891
ba[pn zi[bz xk[kp 	八字形	c=1 d=3.18268e-32 t=16891
ba[ss le[vl 	罢了	c=2 d=2.21715e-14 t=16891
bc[bs 	包	c=6 d=3.34828e-07 t=16891
bc[bs he[kv 	包喝	c=1 d=7.86336e-26 t=16891
bc[bs hj[rk 	包含	c=2 d=0.00044481 t=16891
bc[bs ko[fk 	包括	c=4 d=4.39056e-23 t=16891
bc[bs vu[rv 	包住	c=1 d=7.9028e-26 t=16891
bc[bs ww[kw ve[yo 	包围着	c=1 d=8.0709e-09 t=16891
bc[fs tr[kc 	抱团	c=1 d=2.56792e-07 t=16891
bc[fy 	报	c=0 d=3.22309e-05 t=16891
bc[fy du[yd 	报读	c=2 d=3.21254e-06 t=16891
bc[fy jk[ck 	报警	c=2 d=5.20062e-15 t=16891
bc[fy jx[rl 	报价	c=1 d=2.29091e-17 t=16891
bc[fy mk[xk 	报名	c=1 d=1.3606e-05 t=16891
bc[fy uz[pl ji[mj ka[ub 	报手机卡	c=1 d=0.000323925 t=16891
bc[fy xn[jo 	报销	c=1 d=2.24363e-07 t=16891
bc[hu po[uy 	爆破	c=1 d=5.90549e-09 t=16891
bc[ou ji[ak 	暴击	c=1 d=1.44498e-07 t=16891
bc[rh uv[ln 	煲水	c=1 d=0.0746459 t=16891
bc[rm cy[uz 	保存	c=1 d=2.97417e-29 t=16891
bc[rm hu[fh 	保护	c=5 d=4.41628e-12 t=16891
bc[rm ii[fc 	保持	c=1 d=6.34988e-11 t=16891
bc[rm lq[pt 	保留	c=2 d=4.62132e-08 t=16891
bc[rm mi[be 	保密	c=1 d=8.33225e-31 t=16891
bc[rm vg[yv 	保证	c=3 d=5.64343e-07 t=16891
bc[rm vh[eu 	保障	c=1 d=3.22419e-08 t=16891
bc[rm xm[ea si[va 	保险丝	c=1 d=1.7655e-11 t=16891
bc[rm yh[yl 	保养	c=0 d=7.11505e-27 t=16891
bc[rm yh[yl wo[pd 	保养我	c=1 d=7.15072e-26 t=16891
bd[ab du[gy 	百度	c=2 d=1.49438e-20 t=16891
bd[fs lj[hs 	摆烂	c=1 d=1.75454e-26 t=16891
bd[po 	白	c=1 d=4.95203e-27 t=16891
bd[po du[yd 	白读	c=1 d=4.44465e-20 t=16891
bd[po pn[nx 	白嫖	c=1 d=9.36401e-23 t=16891
bd[po pn[nx gk[xt 	白嫖怪	c=1 d=9.41094e-22 t=16891
bd[po se[db 	白色	c=1 d=2.14528e-09 t=16891
bd[po xt[xz 	白学	c=2 d=1.11221e-22 t=16891
bd[po yy[es 	白云	c=1 d=1.70919e-12 t=16891
bd[uf 	拜	c=1 d=1.03523e-25 t=16891
bd[uf uf[pu 	拜神	c=1 d=9.94642e-26 t=16891
bf[aa di[ty 	本地	c=2 d=2.58966e-18 t=16891
bf[aa ld[an 	本来	c=7 d=0.143704 t=16891
bf[aa rf[pn 	本人	c=1 d=1.59473e-20 t=16891
bf[aa uf[pp 	本身	c=7 d=5.6445e-08 t=16891
